patent_id,title,inventor,company_name
10000000,Coherent LADAR using intra-pixel quadrature detection,Joseph Marron,Raytheon Company
10000001,Injection molding machine and mold thickness control method,Hyeon Jae Yu,LS MTRON LTD.
10000001,Injection molding machine and mold thickness control method,Sun-Woo Lee,LS MTRON LTD.
10000002,Method for manufacturing polymer film and co-extruded film,Dong Jin Kim,"KOLON INDUSTRIES, INC."
10000002,Method for manufacturing polymer film and co-extruded film,Dong-Hyeon Choi,"KOLON INDUSTRIES, INC."
10000002,Method for manufacturing polymer film and co-extruded film,Si Min Kim,"KOLON INDUSTRIES, INC."
10000002,Method for manufacturing polymer film and co-extruded film,Yun-Jo Kim,"KOLON INDUSTRIES, INC."
10000003,Method for producing a container from a thermoplastic,Carsten Elsasser,KAUTEX TEXTRON GmbH & Co. KG
10000003,Method for producing a container from a thermoplastic,Cristoph Mehren,KAUTEX TEXTRON GmbH & Co. KG
10000003,Method for producing a container from a thermoplastic,Guido Bergmann,KAUTEX TEXTRON GmbH & Co. KG
10000004,"Process of obtaining a double-oriented film, co-extruded, and of low thickness made by a three bubble process that at the time of being thermoformed provides a uniform thickness in the produced tray",Jose Juan Valadez Lopez,ZUBEX INDUSTRIAL SA DE CV
10000004,"Process of obtaining a double-oriented film, co-extruded, and of low thickness made by a three bubble process that at the time of being thermoformed provides a uniform thickness in the produced tray",Miguel Jorge Zubiria Elizondo,ZUBEX INDUSTRIAL SA DE CV
10000005,Article vacuum formation method and vacuum forming apparatus,Katsunori Oda,TOYOTA SHATAI KABUSHIKI KAISHA
10000005,Article vacuum formation method and vacuum forming apparatus,Kenji Katou,TOYOTA SHATAI KABUSHIKI KAISHA
10000006,Thermoforming mold device and a process for its manufacture and use,Marc Saelen,REYDEL AUTOMOTIVE B.V.
10000007,PEX expanding tool,Alex Huber,Milwaukee Electric Tool Corporation
10000007,PEX expanding tool,Corey Dickert,Milwaukee Electric Tool Corporation
10000007,PEX expanding tool,Ian Zimmermann,Milwaukee Electric Tool Corporation
10000007,PEX expanding tool,Jarrod Kotes,Milwaukee Electric Tool Corporation
10000007,PEX expanding tool,Will Didier,Milwaukee Electric Tool Corporation
